"sub","countergroup","condition","perf","dvtype","time","intensity","load"
106,"C","pre_active_1B_RT",737.9183673,"rt","pre","active","1B"
108,"A","pre_active_1B_RT",872.4375,"rt","pre","active","1B"
111,"C","pre_active_1B_RT",638.6521739,"rt","pre","active","1B"
114,"D","pre_active_1B_RT",687.9423077,"rt","pre","active","1B"
115,"B","pre_active_1B_RT",707.0816327,"rt","pre","active","1B"
116,"C","pre_active_1B_RT",678.875,"rt","pre","active","1B"
117,"D","pre_active_1B_RT",651.6078431,"rt","pre","active","1B"
102,"C","pre_active_1B_RT",763.2352941,"rt","pre","active","1B"
103,"D","pre_active_1B_RT",632.0204082,"rt","pre","active","1B"
104,"A","pre_active_1B_RT",776.7608696,"rt","pre","active","1B"
107,"D","pre_active_1B_RT",696.7826087,"rt","pre","active","1B"
109,"B","pre_active_1B_RT",816.4255319,"rt","pre","active","1B"
110,"C","pre_active_1B_RT",692.8541667,"rt","pre","active","1B"
112,"D","pre_active_1B_RT",674.74,"rt","pre","active","1B"
123,"B","pre_active_1B_RT",796.8235294,"rt","pre","active","1B"
124,"B","pre_active_1B_RT",622.106383,"rt","pre","active","1B"
125,"C","pre_active_1B_RT",628.88,"rt","pre","active","1B"
126,"A","pre_active_1B_RT",708.08,"rt","pre","active","1B"
127,"D","pre_active_1B_RT",1259.638298,"rt","pre","active","1B"
128,"A","pre_active_1B_RT",797.7142857,"rt","pre","active","1B"
129,"B","pre_active_1B_RT",612.125,"rt","pre","active","1B"
130,"C","pre_active_1B_RT",684.75,"rt","pre","active","1B"
100,"A","post_active_1B_RT",609.0196078,"rt","post","active","1B"
101,"B","post_active_1B_RT",644.18,"rt","post","active","1B"
105,"B","post_active_1B_RT",705.6122449,"rt","post","active","1B"
106,"C","post_active_1B_RT",824.3958333,"rt","post","active","1B"
108,"A","post_active_1B_RT",898.7142857,"rt","post","active","1B"
111,"C","post_active_1B_RT",644.8541667,"rt","post","active","1B"
114,"D","post_active_1B_RT",676.0961538,"rt","post","active","1B"
115,"B","post_active_1B_RT",609.7647059,"rt","post","active","1B"
116,"C","post_active_1B_RT",567.4423077,"rt","post","active","1B"
117,"D","post_active_1B_RT",536.4,"rt","post","active","1B"
102,"C","post_active_1B_RT",608.5128205,"rt","post","active","1B"
103,"D","post_active_1B_RT",604.9615385,"rt","post","active","1B"
104,"A","post_active_1B_RT",762.7647059,"rt","post","active","1B"
107,"D","post_active_1B_RT",633.1538462,"rt","post","active","1B"
109,"B","post_active_1B_RT",711.2553191,"rt","post","active","1B"
110,"C","post_active_1B_RT",605.6808511,"rt","post","active","1B"
112,"D","post_active_1B_RT",623.1111111,"rt","post","active","1B"
123,"B","post_active_1B_RT",682.9019608,"rt","post","active","1B"
124,"B","post_active_1B_RT",509.5769231,"rt","post","active","1B"
125,"C","post_active_1B_RT",623.627451,"rt","post","active","1B"
126,"A","post_active_1B_RT",700.0980392,"rt","post","active","1B"
127,"D","post_active_1B_RT",1262.541667,"rt","post","active","1B"
128,"A","post_active_1B_RT",667.372549,"rt","post","active","1B"
129,"B","post_active_1B_RT",608.26,"rt","post","active","1B"
130,"C","post_active_1B_RT",599.8571429,"rt","post","active","1B"
100,"A","pre_passive_2B_RT",627.0638298,"rt","pre","passive","2B"
101,"B","pre_passive_2B_RT",732.6744186,"rt","pre","passive","2B"
105,"B","pre_passive_2B_RT",703.4130435,"rt","pre","passive","2B"
106,"C","pre_passive_2B_RT",934.0952381,"rt","pre","passive","2B"
108,"A","pre_passive_2B_RT",789.8292683,"rt","pre","passive","2B"
111,"C","pre_passive_2B_RT",749.047619,"rt","pre","passive","2B"
114,"D","pre_passive_2B_RT",960.0227273,"rt","pre","passive","2B"
115,"B","pre_passive_2B_RT",839.9787234,"rt","pre","passive","2B"
116,"C","pre_passive_2B_RT",684.3777778,"rt","pre","passive","2B"
117,"D","pre_passive_2B_RT",629.4583333,"rt","pre","passive","2B"
